round,source_file,task,family,baseline_quick_acc,best_quick_cfg,best_quick_acc,best_quick_delta_pp,baseline_med_acc,best_med_cfg,best_med_acc,best_med_delta_pp,compare_mode,anchor_acc,best_med_delta_vs_anchor_pp,effective
104,_round104_fastdiscover_records.jsonl,mbpp_seed4_headprobe,mbpp,0.4061133725,scalar_l8_sched_cos,0.4286145032,2.2501130710,0.4753265413,scalar_l8_sched_cos,0.4882157482,1.2889206902,med_vs_med,0.4753265413,1.2889206902,1
109,_round109_fastdiscover_records.jsonl,hotpot_seed6_discovery,hotpot,0.0709595960,scalar_l8_train1e4,0.0995558496,2.8596253596,0.0900522317,scalar_l8_train1e4,0.1259233449,3.5871113229,med_vs_med,0.0900522317,3.5871113229,1
112,_round112_fastdiscover_records.jsonl,hotpot_longctx_seed1_discovery,hotpot,0.0666666667,scalar_l8_train1e4,0.0888888889,2.2222222222,0.0666666667,scalar_l8_train1e4,0.0888888889,2.2222222222,med_vs_med,0.0666666667,2.2222222222,1
115,_round115_fastdiscover_records.jsonl,punc_seed3_anchor,punc,0.0831734190,scalar_l8_train1e4,0.0951643399,1.1990920960,0.0888277941,scalar_l8_train1e4,0.1038393901,1.5011596036,med_vs_med,0.0888277941,1.5011596036,1
118,_round118_fastdiscover_records.jsonl,hotpot_seed8_discovery,hotpot,0.0919800920,scalar_l8_train8e5,0.1073993574,1.5419265419,0.1059233449,scalar_l8_train8e5,0.1131054131,0.7182068158,med_vs_med,0.1059233449,0.7182068158,1
121,_round121_fastdiscover_records.jsonl,hotpot_seed13_discovery,hotpot,0.0556397306,scalar_l8_train1e4,0.1097303597,5.4090629091,0.0939984004,scalar_l8_train1e4,0.1097303597,1.5731959337,med_vs_med,0.0939984004,1.5731959337,1
121,_round121_fastdiscover_records.jsonl,protein_ss_seed10_discovery,protein_ss,0.2392762180,scalar_l8_train8e5,0.3361590102,9.6882792252,0.2765932792,scalar_l8_train8e5,0.3361590102,5.9565731015,med_vs_med,0.2765932792,5.9565731015,1
123,_round123_fastdiscover_records.jsonl,punc_seed4_anchor,punc,0.0770032592,scalar_l8_train8e5,0.0860837996,0.9080540371,0.0847694210,scalar_l8_train8e5,0.0927594125,0.7989991570,med_vs_med,0.0847694210,0.7989991570,1
127,_round127_fastdiscover_records.jsonl,mbpp_longctx_seed2_repair,mbpp_longctx,0.0929810930,scalar_l8_train1e4,0.1401191401,4.7138047138,0.1944805195,scalar_l8_train1e4,0.2076923077,1.3211788212,med_vs_med,0.1944805195,1.3211788212,1
134,_round134_fastdiscover_records.jsonl,mbpp_seed11_anchor,mbpp,0.4200876651,scalar_l8_sched_cos,0.4285959994,0.8508334300,0.4606665908,scalar_l8_sched_cos,0.4974920460,3.6825455226,med_vs_med,0.4606665908,3.6825455226,1
134,_round134_fastdiscover_records.jsonl,punc_seed7_anchor,punc,0.0775363775,scalar_l8_train1e4,0.0885418234,1.1005445906,0.0977241653,scalar_l8_train1e4,0.1090339666,1.1309801329,med_vs_med,0.0977241653,1.1309801329,1
136,_round136_fastdiscover_records.jsonl,arc_mc_seed3_discovery,arc_mc,0.2916666667,scalar_l8_sched_cos,0.4166666667,12.5000000000,0.2916666667,scalar_l8_sched_cos,0.4166666667,12.5000000000,med_vs_med,0.2916666667,12.5000000000,1
154,_round154_fastdiscover_records.jsonl,hotpot_seed25_discovery,hotpot,0.0538335538,scalar_l8_train1e4,0.1149751150,6.1141561142,0.1087844255,scalar_l8_train1e4,0.1149751150,0.6190689524,med_vs_med,0.1087844255,0.6190689524,1
154,_round154_fastdiscover_records.jsonl,mbpp_seed18_headprobe,mbpp,0.4211000942,scalar_l8_sched_cos,0.4320842597,1.0984165509,0.4640339956,scalar_l8_sched_cos,0.4934960834,2.9462087853,med_vs_med,0.4640339956,2.9462087853,1
155,_round155_fastdiscover_records.jsonl,protein_ss_seed24_discovery,protein_ss,0.2518830746,scalar_l8_train8e5,0.3059371184,5.4054043885,0.2667652491,scalar_l8_train8e5,0.3059371184,3.9171869361,med_vs_med,0.2667652491,3.9171869361,1
156,_round156_fastdiscover_records.jsonl,mbpp_seed19_anchor,mbpp,0.4002102500,scalar_l8_sched_cos,0.4291546855,2.8944435502,0.4639630073,scalar_l8_sched_cos,0.4699709457,0.6007938375,med_vs_med,0.4639630073,0.6007938375,1
157,_round157_fastdiscover_records.jsonl,arc_mc_seed13_discovery,arc_mc,0.2916666667,scalar_l8_train8e5,0.5000000000,20.8333333333,0.2916666667,scalar_l8_train8e5,0.5000000000,20.8333333333,med_vs_med,0.2916666667,20.8333333333,1
157,_round157_fastdiscover_records.jsonl,hotpot_seed26_discovery,hotpot,0.0614093114,scalar_l8_train8e5,0.1329931330,7.1583821584,0.0909812410,scalar_l8_train8e5,0.1329931330,4.2011892012,med_vs_med,0.0909812410,4.2011892012,1
158,_round158_fastdiscover_records.jsonl,protein_ss_seed25_discovery,protein_ss,0.2411439093,scalar_l8_train8e5,0.2641238513,2.2979941966,0.2799771967,scalar_l8_train8e5,0.3403620096,6.0384812923,med_vs_med,0.2799771967,6.0384812923,1
159,_round159_fastdiscover_records.jsonl,mbpp_seed20_headprobe,mbpp,0.4031808000,head_l10_strong,0.4203236648,1.7142864824,0.4543278860,head_l10_strong,0.4830312760,2.8703389995,med_vs_med,0.4543278860,2.8703389995,1
159,_round159_fastdiscover_records.jsonl,punc_seed14_anchor,punc,0.0765217468,head_l8,0.0870861033,1.0564356529,0.1088115500,head_l8,0.1105152094,0.1703659390,med_vs_med,0.1088115500,0.1703659390,1
160,_round160_fastdiscover_records.jsonl,arc_mc_seed14_discovery,arc_mc,0.2916666667,scalar_l8_train1e4,0.3333333333,4.1666666667,0.3333333333,scalar_l8_train1e4,0.4166666667,8.3333333333,med_vs_med,0.3333333333,8.3333333333,1
161,_round161_fastdiscover_records.jsonl,protein_ss_seed27_discovery,protein_ss,0.2760915808,scalar_l8_train1e4,0.2955790798,1.9487498929,0.2760915808,scalar_l8_train1e4,0.2955790798,1.9487498929,med_vs_med,0.2760915808,1.9487498929,1
163,_round163_fastdiscover_records.jsonl,arc_mc_seed16_discovery,arc_mc,0.2916666667,scalar_l8_sched_cos,0.3333333333,4.1666666667,0.3333333333,scalar_l8_sched_cos,0.5000000000,16.6666666667,med_vs_med,0.3333333333,16.6666666667,1
163,_round163_fastdiscover_records.jsonl,protein_ss_seed28_discovery,protein_ss,0.2913417916,scalar_l8_train1e4,0.3053373284,1.3995536738,0.2913417916,scalar_l8_train1e4,0.3053373284,1.3995536738,med_vs_med,0.2913417916,1.3995536738,1
165,_round165_fastdiscover_records.jsonl,hotpot_seed28_discovery,hotpot,0.0960120960,scalar_l8_train8e5,0.1228186228,2.6806526807,0.1171177588,scalar_l8_train8e5,0.1228186228,0.5700864034,med_vs_med,0.1171177588,0.5700864034,1
167,_round167_fastdiscover_records.jsonl,punc_seed16_anchor,punc,0.0708965605,scalar_l8_train8e5,0.0842796889,1.3383128433,0.0980413794,scalar_l8_train8e5,0.1002554813,0.2214101901,med_vs_med,0.0980413794,0.2214101901,1
168,_round168_fastdiscover_records.jsonl,arc_mc_seed18_discovery,arc_mc,0.3333333333,scalar_l8_train1e4,0.3750000000,4.1666666667,0.3750000000,scalar_l8_train1e4,0.4583333333,8.3333333333,med_vs_med,0.3750000000,8.3333333333,1
