round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
169,arc_mc_seed19_discovery,arc_mc,12.5,scalar_l8_train8e5,4.166666666666669,scalar_l8_train8e5,False
169,protein_ss_seed31_discovery,protein_ss,0.07934610356308269,head_l8,,,False
170,hotpot_seed29_discovery,hotpot,0.641025641025643,scalar_l8_train1e4,,,False
170,mbpp_seed24_headprobe,mbpp,2.8553990579654522,scalar_l8_train8e5,0.5179985940049647,scalar_l8_train8e5,False
171,arc_mc_seed20_discovery,arc_mc,8.333333333333337,scalar_l8_train1e4,8.333333333333337,scalar_l8_train1e4,False
171,protein_ss_seed32_discovery,protein_ss,1.7543859649122806,scalar_l8_train8e5,0.678196282778859,scalar_l8_train8e5,False
172,mbpp_seed25_anchor,mbpp,1.397035828236154,scalar_l8_train8e5,-4.680014187475851,scalar_l8_train8e5,True
172,punc_seed17_anchor,other,0.06527611554212193,scalar_l8_train1e4,,,False
173,arc_mc_seed21_discovery,arc_mc,4.1666666666666625,scalar_l8_train1e4,0.0,scalar_l8_train1e4,True
173,hotpot_seed30_discovery,hotpot,1.7797517797517772,head_l8,0.4757438090771421,head_l8,False
174,mbpp_longctx_seed7_repair,mbpp_longctx,1.640334973668303,scalar_l8_train1e4,0.3348891252117042,scalar_l8_train1e4,False
174,protein_ss_seed33_discovery,protein_ss,1.4166693443009193,scalar_l8_train1e4,1.4166693443009193,scalar_l8_train1e4,False
175,mbpp_seed26_headprobe,mbpp,1.4231484952318407,scalar_l8_train8e5,-1.498360921152625,scalar_l8_train8e5,True
175,punc_seed18_anchor,other,1.332570775640085,head_l8,1.2240574531213162,head_l8,False
176,arc_mc_seed22_discovery,arc_mc,0.0,scalar_l8_sched_cos,,,False
176,protein_ss_seed34_discovery,protein_ss,-3.42803779771661,head_l8,,,False
177,arc_mc_seed23_discovery,arc_mc,0.0,scalar_l8_sched_cos,,,False
177,protein_ss_seed35_discovery,protein_ss,-0.47206691943533774,scalar_l8_train8e5,,,False
178,hotpot_seed31_discovery,hotpot,1.398601398601397,scalar_l8_train8e5,-0.5458404482794721,scalar_l8_train8e5,True
