round,task,family,baseline_acc,best_cfg,best_acc,best_delta_pp,outcome
517,mbpp_seed145_anchor,mbpp,0.4878749137546167,scalar_l8_train1e4,0.45503262766522495,-3.284228608939177,negative
521,mbpp_seed146_headprobe,mbpp,0.4563711603426628,head_l10_strong,0.45975473323615756,0.33835728934947795,positive
522,protein_ss_seed259_discovery,protein_ss,0.30105110532742113,scalar_l8_sched_cos,0.3508838870680976,4.983278174067646,positive
525,protein_ss_seed260_discovery,protein_ss,0.30133895101000363,head_l8,0.3102019203992888,0.8862969389285158,positive
526,mbpp_longctx_seed104_repair,mbpp_longctx,0.18571428571428572,head_l8,0.24527417027417028,5.955988455988456,positive
527,hotpot_seed90_discovery,hotpot,0.12072009291521486,head_l8,0.1265828765828766,0.5862783667661728,positive
528,protein_ss_seed261_discovery,protein_ss,0.27864265364265367,scalar_l8_sched_cos,0.3600171955522236,8.137454190956994,positive
529,mbpp_seed148_headprobe,mbpp,0.4989308660536406,head_l10_strong,0.5273022885245554,2.837142247091479,positive
530,protein_ss_seed262_discovery,protein_ss,0.2910336252160763,scalar_l8_train1e4,0.3148529711029711,2.3819345886894827,positive
531,hotpot_seed91_discovery,hotpot,0.09406457739791074,scalar_l8_train1e4,0.10098910098910101,0.6924523591190266,positive
531,mbpp_longctx_seed105_repair,mbpp_longctx,0.21114718614718617,scalar_l8_sched_cos,0.23849206349206345,2.734487734487728,positive
534,mbpp_longctx_seed106_repair,mbpp_longctx,0.19062210191242449,head_l8,0.27752525252525256,8.690315061282808,positive
543,hotpot_seed94_discovery,hotpot,0.09469342251950948,scalar_l8_sched_cos,0.11354186354186353,1.8848441022354057,positive
543,arc_mc_seed198_discovery,arc_mc,0.375,scalar_l8_train1e4,0.375,0.0,flat
544,protein_ss_seed267_discovery,protein_ss,0.2568821894479789,scalar_l8_train1e4,0.2799330886898945,2.3050899241915612,positive
545,mbpp_longctx_seed109_repair,mbpp_longctx,0.28715728715728717,scalar_l8_train1e4,0.2776334776334776,-0.9523809523809545,negative
545,mbpp_seed152_headprobe,mbpp,0.4674418163498307,scalar_l8_train1e4,0.47129484539357014,0.38530290437394643,positive
550,mbpp_seed155_anchor,mbpp,0.4832712631265032,head_l10_strong,0.4767525679507744,-0.6518695175728784,negative
550,protein_ss_seed270_discovery,protein_ss,0.278699553370606,scalar_l8_sched_cos,0.2933964183964184,1.4696865025812411,positive
551,arc_mc_seed202_discovery,arc_mc,0.4166666666666667,scalar_l8_train1e4,0.4583333333333333,4.1666666666666625,positive
552,protein_ss_seed271_discovery,protein_ss,0.28745876443244867,scalar_l8_train1e4,0.31081911509543086,2.33603506629822,positive
552,mbpp_longctx_seed111_repair,mbpp_longctx,0.16259994485800935,head_l8,0.15496848830182164,-0.7631456556187716,negative
553,mbpp_longctx_seed112_repair,mbpp_longctx,0.2152958152958153,scalar_l8_sched_cos,0.21327561327561328,-0.20202020202020055,negative
554,arc_mc_seed203_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.3333333333333333,0.0,flat
554,protein_ss_seed272_discovery,protein_ss,0.2986766247379455,scalar_l8_train1e4,0.319204100983762,2.0527476245816523,positive
556,protein_ss_seed273_discovery,protein_ss,0.3032223519121378,scalar_l8_sched_cos,0.2847394061243427,-1.8482945787795135,negative
556,mbpp_seed159_headprobe,mbpp,0.46608857996424896,scalar_l8_train1e4,0.4842453286324085,1.8156748668159528,positive
557,arc_mc_seed205_discovery,arc_mc,0.3333333333333333,scalar_l8_train8e5,0.4166666666666667,8.333333333333337,positive
557,mbpp_longctx_seed113_repair,mbpp_longctx,0.1601010101010101,head_l8,0.19578754578754576,3.5686535686535654,positive
558,mbpp_seed160_anchor,mbpp,0.4590851743334013,scalar_l8_sched_cos,0.47474444015055667,1.5659265817155377,positive
559,mbpp_seed161_headprobe,mbpp,0.45708445617701515,scalar_l8_sched_cos,0.4585894225662038,0.15049663891886222,positive
561,mbpp_seed162_headprobe,mbpp,0.45788468087884704,scalar_l8_train1e4,0.46983176194686055,1.194708106801351,positive
563,mbpp_seed163_anchor,mbpp,0.46969897493722396,head_l10_strong,0.47583210251686525,0.6133127579641295,positive
566,mbpp_seed165_anchor,mbpp,0.47300563616888747,scalar_l8_sched_cos,0.4870872353303441,1.4081599161456626,positive
567,mbpp_seed166_headprobe,mbpp,0.45559818562653415,scalar_l8_sched_cos,0.4714390175383083,1.5840831911774156,positive
568,protein_ss_seed279_discovery,protein_ss,0.29013481314997813,head_l8,0.26902669327401707,-2.110811987596106,negative
568,mbpp_longctx_seed117_repair,mbpp_longctx,0.25461760461760463,scalar_l8_train1e4,0.2544372294372294,-0.018037518037522515,negative
569,arc_mc_seed211_repro,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.4166666666666667,8.333333333333337,positive
